gnd,year,age,dm1_pop,dm1_dead,cdc_dead,cdc_pop
M,2002,40,2772425,5654,6074,2260679
M,2003,40,2757108,5426,5736,2243727
M,2004,40,2730438,5148,5492,2252988
M,2005,40,2610942,4995,5437,2226254
M,2006,40,2532246,4694,5122,2081774
M,2007,40,2503478,4365,4707,2021075
M,2008,40,2531527,4251,4421,2021855
M,2009,40,2583897,4432,4589,2063870
M,2010,40,2671453,4423,4395,2191249
M,2011,40,2591633,4371,4632,2148028
M,2012,40,2466851,3995,4355,2029390
M,2013,40,2396210,3777,4146,1936508
M,2014,40,2416419,3919,4093,1916261
M,2001,41,2787194,6158,6473,2342019
M,2002,41,2767911,6281,6471,2284301
M,2003,41,2766771,6067,6393,2260614
M,2004,41,2751682,5801,6079,2248606
M,2005,41,2725290,5690,5954,2258597
M,2006,41,2605947,5289,5701,2235552
M,2007,41,2527552,4884,5326,2090954
M,2008,41,2499113,4671,5027,2031178
M,2009,41,2527276,4680,4973,2032646
M,2010,41,2579465,4517,4683,2047818
M,2011,41,2667030,4737,4856,2187138
M,2012,41,2587262,4566,4888,2147646
M,2013,41,2462856,4280,4564,2028536
M,2014,41,2392433,4218,4623,1939916
M,2001,42,2747289,6470,6689,2237740
M,2002,42,2781036,6640,6982,2339185
M,2003,42,2761630,6589,6943,2279589
M,2004,42,2760704,6310,6704,2258953
M,2005,42,2745881,6197,6734,2245748
M,2006,42,2719600,5968,6528,2257544
M,2007,42,2600658,5583,6006,2233912
M,2008,42,2522668,5226,5588,2089575
M,2009,42,2494442,5152,5426,2029246
M,2010,42,2522596,4787,5080,2028653
M,2011,42,2574948,4950,5114,2071160
M,2012,42,2662293,5039,5142,2185851
M,2013,42,2582696,4809,5329,2145858
M,2014,42,2458576,4575,4938,2031325
M,2001,43,2706580,7065,7441,2242083
M,2002,43,2740819,7144,7382,2235579
M,2003,43,2774396,7235,7585,2335874
M,2004,43,2755041,6900,7212,2279113
M,2005,43,2754394,6986,7189,2258382
M,2006,43,2739684,6604,7107,2246886
M,2007,43,2713632,6359,6773,2258746
M,2008,43,2595075,5853,6339,2236079
M,2009,43,2517442,5601,5900,2091675
M,2010,43,2489290,5228,5391,2035990
M,2011,43,2517809,5157,5460,2028670
M,2012,43,2569998,5270,5398,2069535
M,2013,43,2657254,5485,5597,2182953
M,2014,43,2577887,5259,5576,2147656
M,2001,44,2720235,7565,7864,2208570
M,2002,44,2699515,7524,8058,2233678
M,2003,44,2733675,7812,8037,2223641
M,2004,44,2767161,7429,7705,2323552
M,2005,44,2748141,7500,7984,2264181
M,2006,44,2747408,7451,7561,2242649
M,2007,44,2733080,7141,7538,2228489
M,2008,44,2707273,6801,7207,2238412
M,2009,44,2589222,6269,6886,2213137
M,2010,44,2511841,5797,6271,2090267
M,2011,44,2484062,5650,5800,2027163
M,2012,44,2512652,5515,5778,2026572
M,2013,44,2564728,5628,5892,2066137
M,2014,44,2651769,5620,5963,2184235
M,2001,45,2656232,7976,8291,2121944
M,2002,45,2712670,8371,8442,2200968
M,2003,45,2691991,8149,8488,2224414
M,2004,45,2725863,7988,8465,2215272
M,2005,45,2759732,8330,8619,2314057
M,2006,45,2740641,7688,8314,2255226
M,2007,45,2739957,7794,8145,2233025
M,2008,45,2725939,7441,7782,2218446
M,2009,45,2700472,7305,7636,2227071
M,2010,45,2582953,6680,7166,2237450
M,2011,45,2506044,6106,6735,2069751
M,2012,45,2478412,6025,6260,2024091
M,2013,45,2507137,6009,6220,2021957
M,2014,45,2559100,6149,6376,2067223
M,2001,46,2584946,8536,8840,2143311
M,2002,46,2648256,8720,9130,2120188
M,2003,46,2704299,8886,9386,2200290
M,2004,46,2683842,8695,9078,2227648
M,2005,46,2717875,8813,9091,2220792
M,2006,46,2751402,8550,8989,2322962
M,2007,46,2732953,8467,8975,2266159
M,2008,46,2732163,8234,8644,2245998
M,2009,46,2718498,7903,8431,2232877
M,2010,46,2693167,7687,8147,2230982
M,2011,46,2576273,7214,7611,2195885
M,2012,46,2499938,6651,7167,2065705
M,2013,46,2472387,6555,7100,2018553
M,2014,46,2501128,6471,6863,2022698
M,2001,47,2540367,9123,9429,2042517
M,2002,47,2576410,9330,9548,2140507
M,2003,47,2639536,9625,9839,2117276
M,2004,47,2695413,9639,9905,2199700
M,2005,47,2675147,9194,9752,2228342
M,2006,47,2709062,9344,9752,2223663
M,2007,47,2742852,9117,9494,2326976
M,2008,47,2724486,9075,9564,2271170
M,2009,47,2723929,8863,9287,2251625
M,2010,47,2710595,8721,8979,2238248
M,2011,47,2685480,8342,8896,2231566
M,2012,47,2569059,7596,8320,2190557
M,2013,47,2493287,7473,7960,2059088
M,2014,47,2465832,7178,7625,2019306
M,2001,48,2440732,9626,9814,1972847
M,2002,48,2531244,9771,10142,2035358
M,2003,48,2567080,10150,10496,2131053
M,2004,48,2629911,9949,10254,2107717
M,2005,48,2685774,10224,10491,2188567
M,2006,48,2665953,9993,10668,2216534
M,2007,48,2699718,9843,10187,2210559
M,2008,48,2733735,9820,10237,2312020
M,2009,48,2715411,9697,10055,2254796
M,2010,48,2715066,9334,9727,2237734
M,2011,48,2701874,9148,9657,2229381
M,2012,48,2677138,8867,9404,2224991
M,2013,48,2561463,8296,9052,2182629
M,2014,48,2485814,7870,8591,2058243
M,2001,49,2403561,10069,10193,1912415
M,2002,49,2431106,10339,10439,1969476
M,2003,49,2521473,10800,10930,2032378
M,2004,49,2556930,10487,10812,2130419
M,2005,49,2619962,10915,11326,2108325
M,2006,49,2675550,11226,11295,2191446
M,2007,49,2655960,10544,11103,2220829
M,2008,49,2689875,10696,11112,2216356
M,2009,49,2723915,10517,10964,2319302
M,2010,49,2705714,10473,10927,2264671
M,2011,49,2705732,10173,10615,2226118
M,2012,49,2692726,9915,10236,2221281
M,2013,49,2668271,9671,10199,2215891
M,2014,49,2553167,9093,9826,2179993
M,2001,50,2308155,10412,10480,1858963
M,2002,50,2393492,10775,11001,1902885
M,2003,50,2420767,10999,11372,1957066
M,2004,50,2510673,11213,11468,2018146
M,2005,50,2546443,11529,11933,2113557
M,2006,50,2609047,11486,11991,2089893
M,2007,50,2664324,11606,11935,2170086
M,2008,50,2645416,11353,12002,2197224
M,2009,50,2679179,11241,11836,2190333
M,2010,50,2713398,11279,11736,2300354
M,2011,50,2695241,11266,11747,2251877
M,2012,50,2695559,10762,11516,2216795
M,2013,50,2682811,10731,11307,2211106
M,2014,50,2658600,10564,11064,2211607
M,2001,51,2235251,10783,11034,1862989
M,2002,51,2297743,11462,11388,1857726
M,2003,51,2382717,11748,11826,1903885
M,2004,51,2409768,11811,12031,1961738
M,2005,51,2499460,12320,12349,2026203
M,2006,51,2534914,12348,12611,2125890
M,2007,51,2597561,12270,12752,2105021
M,2008,51,2652718,12597,12824,2189639
M,2009,51,2634063,12395,12958,2220328
M,2010,51,2667938,12100,12372,2190766
M,2011,51,2702119,12217,12603,2278457
M,2012,51,2683975,12150,12718,2241462
M,2013,51,2684797,11912,12453,2205825
M,2014,51,2672080,11524,12268,2205405
M,2001,52,2199438,11159,11402,1786849
M,2002,52,2224468,11569,11933,1854284
M,2003,52,2286281,12126,12166,1846875
M,2004,52,2370969,12543,12644,1891504
M,2005,52,2397957,12764,13341,1947260
M,2006,52,2487140,12942,13362,2010094
M,2007,52,2522566,13131,13327,2107225
M,2008,52,2585291,13241,13410,2084700
M,2009,52,2640121,13664,13919,2166314
M,2010,52,2621668,12994,13516,2207246
M,2011,52,2655838,13168,13678,2196781
M,2012,52,2689902,13267,13670,2267371
M,2013,52,2671825,12910,13472,2229385
M,2014,52,2672885,12583,13248,2198124
M,2001,53,2172093,11792,12073,1775276
M,2002,53,2188279,12270,12493,1782978
M,2003,53,2212899,12464,12578,1851585
M,2004,53,2274155,13117,13101,1845760
M,2005,53,2358426,13566,13598,1891790
M,2006,53,2385193,13595,13901,1949539
M,2007,53,2474198,13751,14169,2014300
M,2008,53,2509435,13971,14275,2113819
M,2009,53,2572050,14180,14524,2092799
M,2010,53,2626457,14145,14468,2141354
M,2011,53,2608674,13965,14602,2183182
M,2012,53,2642670,14187,14419,2184843
M,2013,53,2676635,14221,14622,2253981
M,2014,53,2658915,14001,14762,2219617
M,2001,54,2234189,12945,13292,1862076
M,2002,54,2160301,12830,13206,1770221
M,2003,54,2176009,13120,13601,1778213
M,2004,54,2200435,13135,13405,1847897
M,2005,54,2261038,13804,13972,1842482
M,2006,54,2344860,14298,14289,1889337
M,2007,54,2371598,14457,14369,1947797
M,2008,54,2460447,14833,15188,2013539
M,2009,54,2495464,14942,15210,2113789
M,2010,54,2557870,14810,14980,2093554
M,2011,54,2612312,15280,15565,2156249
M,2012,54,2594709,14919,15504,2169774
M,2013,54,2628483,15153,15612,2170669
M,2014,54,2662414,15054,15754,2242828
M,2001,55,1999284,12568,11552,1386854
M,2002,55,2221244,14258,14490,1847760
M,2003,55,2147471,14004,14307,1753341
M,2004,55,2162889,13871,14012,1758586
M,2005,55,2187300,14376,14622,1824610
M,2006,55,2247234,14655,14662,1816409
M,2007,55,2330562,14914,15224,1859281
M,2008,55,2357141,15631,15744,1913592
M,2009,55,2445614,15684,15829,1974783
M,2010,55,2480522,15651,15999,2073473
M,2011,55,2543060,16148,16365,2076344
M,2012,55,2597032,16284,16982,2141280
M,2013,55,2579790,16115,16879,2154967
M,2014,55,2613330,16469,17023,2158258
M,2001,56,1690079,11721,12151,1383009
M,2002,56,1986716,13660,12511,1382872
M,2003,56,2206986,15425,15540,1844529
M,2004,56,2133467,14483,14806,1753133
M,2005,56,2149018,14895,14965,1761297
M,2006,56,2172924,14796,15155,1830564
M,2007,56,2232579,15522,15509,1824531
M,2008,56,2315648,16077,16153,1870156
M,2009,56,2341510,16351,16479,1927719
M,2010,56,2429930,16497,16702,1956141
M,2011,56,2464871,17036,17542,2058561
M,2012,56,2526912,17443,17497,2060591
M,2013,56,2580748,17587,18074,2125826
M,2014,56,2563675,17438,18230,2140722
M,2001,57,1677470,12584,13207,1357485
M,2002,57,1678358,12536,12923,1374045
M,2003,57,1973056,14501,13169,1372827
M,2004,57,2191561,16098,16282,1830349
M,2005,57,2118984,15675,16057,1739222
M,2006,57,2134123,15743,15926,1746603
M,2007,57,2158128,15962,16272,1814344
M,2008,57,2217057,16471,16467,1807079
M,2009,57,2299571,17051,17257,1851260
M,2010,57,2325159,17207,17421,1905355
M,2011,57,2413433,17829,17791,1967413
M,2012,57,2447835,17890,18287,2041891
M,2013,57,2509469,18477,18656,2044395
M,2014,57,2563161,18829,19492,2110149
M,2001,58,1708864,14235,14710,1399744
M,2002,58,1664886,13621,14163,1348687
M,2003,58,1665822,13401,13913,1365498
M,2004,58,1958555,15346,13859,1364399
M,2005,58,2175463,17094,17318,1819296
M,2006,58,2103309,16739,17295,1728992
M,2007,58,2118380,16690,16828,1736443
M,2008,58,2142166,16919,17178,1804202
M,2009,58,2200586,17305,17456,1797118
M,2010,58,2282520,18137,18022,1834808
M,2011,58,2307952,18177,18349,1892452
M,2012,58,2395604,18978,19214,1950176
M,2013,58,2429945,19286,19912,2024760
M,2014,58,2490992,20018,20199,2027959
M,2001,59,1648389,14912,14181,1232487
M,2002,59,1694629,15272,15743,1387713
M,2003,59,1651265,14567,15259,1336406
M,2004,59,1652421,14005,14441,1352760
M,2005,59,1943209,16509,15026,1350936
M,2006,59,2158369,18259,18335,1801227
M,2007,59,2086570,17319,17757,1710700
M,2008,59,2101690,17949,17881,1717301
M,2009,59,2125247,18047,18186,1783506
M,2010,59,2183281,18503,18631,1753871
M,2011,59,2264383,18964,19082,1821281
M,2012,59,2289775,19668,19763,1874471
M,2013,59,2376626,20319,20475,1932434
M,2014,59,2410659,20731,21048,2006900
M,2001,60,1469569,14403,14542,1138884
M,2002,60,1633477,15990,15373,1217335
M,2003,60,1679357,16413,16717,1368194
M,2004,60,1636698,15186,15745,1315754
M,2005,60,1638416,15185,15690,1330174
M,2006,60,1926700,17252,15732,1326336
M,2007,60,2140110,19084,19256,1766043
M,2008,60,2069251,18730,19413,1674280
M,2009,60,2083741,18788,19085,1677738
M,2010,60,2107200,18959,19103,1745507
M,2011,60,2164778,19964,19768,1761228
M,2012,60,2245419,20482,20375,1802492
M,2013,60,2270107,21082,21148,1856051
M,2014,60,2356307,21601,21923,1914009
M,2001,61,1406691,14849,14909,1110151
M,2002,61,1455166,15408,15326,1131638
M,2003,61,1617487,16858,16369,1212101
M,2004,61,1662944,17050,17418,1365695
M,2005,61,1621512,16303,16640,1316923
M,2006,61,1623231,15763,16062,1335279
M,2007,61,1909448,18240,16407,1334516
M,2008,61,2121026,20728,20713,1783203
M,2009,61,2050521,19804,20021,1694484
M,2010,61,2064953,19766,19629,1679077
M,2011,61,2088241,19910,20051,1722457
M,2012,61,2144814,21008,20848,1742427
M,2013,61,2224937,21631,21784,1783516
M,2014,61,2249025,22539,22921,1837080
M,2001,62,1323587,15313,15801,1056502
M,2002,62,1391842,15984,16305,1098596
M,2003,62,1439758,16672,16600,1119523
M,2004,62,1600629,17657,16972,1199144
M,2005,62,1645894,18302,18863,1351274
M,2006,62,1605209,17271,17719,1303566
M,2007,62,1607468,16542,17045,1322109
M,2008,62,1891208,19601,17533,1321417
M,2009,62,2100298,21501,21950,1767422
M,2010,62,2030717,20746,21423,1712692
M,2011,62,2045187,20861,20897,1671482
M,2012,62,2068331,21449,21706,1703249
M,2013,62,2123806,22389,22432,1722456
M,2014,62,2203306,23279,23310,1763504
M,2001,63,1306141,16573,16672,1030410
M,2002,63,1308274,16686,16861,1045297
M,2003,63,1375858,17167,16901,1087611
M,2004,63,1423086,17284,17039,1108921
M,2005,63,1582972,19184,18144,1188493
M,2006,63,1627592,19182,19467,1340312
M,2007,63,1587938,18410,18821,1294016
M,2008,63,1590926,17961,18325,1313243
M,2009,63,1871607,21121,18726,1313400
M,2010,63,2078797,23063,22714,1672329
M,2011,63,2009971,22010,22472,1657509
M,2012,63,2024326,22521,22438,1650927
M,2013,63,2046882,23002,23058,1681878
M,2014,63,2101417,24042,23948,1701827
M,2001,64,1236589,17375,17233,966203
M,2002,64,1289568,17910,17668,1015731
M,2003,64,1291588,17477,17686,1029496
M,2004,64,1358691,17707,17458,1070816
M,2005,64,1405802,18359,18104,1090862
M,2006,64,1563788,19727,18634,1168771
M,2007,64,1608410,20418,20499,1317780
M,2008,64,1569528,19532,20143,1270827
M,2009,64,1572965,19041,19153,1288629
M,2010,64,1850486,21698,19651,1267895
M,2011,64,2055734,24445,24324,1729478
M,2012,64,1987961,23510,23841,1635390
M,2013,64,2001805,24008,23907,1630472
M,2014,64,2023880,24538,24104,1661474
M,2001,65,1188403,18168,18366,943626
M,2002,65,1219214,18224,18106,952282
M,2003,65,1271658,18772,18427,1001903
M,2004,65,1274111,18111,18136,1015816
M,2005,65,1340984,18703,18307,1057487
M,2006,65,1387443,18996,18502,1077812
M,2007,65,1544061,20729,19641,1155119
M,2008,65,1587992,21797,21669,1303557
M,2009,65,1549996,20362,20756,1257340
M,2010,65,1553924,20024,20163,1273310
M,2011,65,1828788,23052,20066,1272356
M,2012,65,2031289,25545,25435,1704827
M,2013,65,1964451,24774,25036,1616005
M,2014,65,1977797,25073,25236,1607688
M,2001,66,1163882,19238,19340,938399
M,2002,66,1170235,18993,18993,928349
M,2003,66,1200990,19036,18805,937277
M,2004,66,1252886,19243,18932,986009
M,2005,66,1256000,19005,18813,1000448
M,2006,66,1322281,19104,18994,1042044
M,2007,66,1368447,20082,19431,1061969
M,2008,66,1523332,22121,20637,1138633
M,2009,66,1566195,22508,22547,1285834
M,2010,66,1529634,21436,21498,1248276
M,2011,66,1533900,20606,20755,1251872
M,2012,66,1805736,24572,21560,1252872
M,2013,66,2005744,27292,27466,1683234
M,2014,66,1939677,26500,26739,1589127
M,2001,67,1121205,20222,19994,857420
M,2002,67,1144644,20150,20463,922458
M,2003,67,1151242,19851,20079,913146
M,2004,67,1181954,19759,19426,922625
M,2005,67,1233643,20361,19971,971691
M,2006,67,1236995,20104,19825,986584
M,2007,67,1303177,20292,19643,1028624
M,2008,67,1348365,21045,20474,1048799
M,2009,67,1501211,22748,21251,1125678
M,2010,67,1543687,23395,23112,1248906
M,2011,67,1508198,22124,22425,1218210
M,2012,67,1513294,21770,22227,1231618
M,2013,67,1781164,26201,22837,1231339
M,2014,67,1978452,29097,28743,1653257
M,2001,68,1057379,20656,21299,851383
M,2002,68,1100983,21293,20769,840036
M,2003,68,1124494,21186,21144,904419
M,2004,68,1131391,20418,20402,895181
M,2005,68,1162195,20534,20150,904790
M,2006,68,1213282,20980,20328,953381
M,2007,68,1216891,20439,20371,968187
M,2008,68,1282885,21364,20834,1009620
M,2009,68,1327320,21900,21279,1029534
M,2010,68,1478463,23761,22423,1087296
M,2011,68,1520292,24694,24757,1246213
M,2012,68,1486074,23914,23802,1196231
M,2013,68,1491524,23322,23613,1208652
M,2014,68,1754963,27435,24301,1211480
M,2001,69,1079997,22895,23111,836787
M,2002,69,1036723,21584,22259,831542
M,2003,69,1079690,22060,21860,820345
M,2004,69,1103308,21374,21559,883380
M,2005,69,1110973,21175,21171,874711
M,2006,69,1141661,21181,21072,884178
M,2007,69,1192302,21834,21406,931531
M,2008,69,1196452,21828,21789,945830
M,2009,69,1261521,22125,21365,986113
M,2010,69,1305420,23052,22323,994759
M,2011,69,1454702,25056,23370,1083279
M,2012,69,1495598,25896,25891,1221308
M,2013,69,1462160,25249,25372,1173960
M,2014,69,1468202,24626,24783,1187554
M,2001,70,1042755,23988,24481,822982
M,2002,70,1057102,24037,24091,813765
M,2003,70,1015139,22760,23025,808170
M,2004,70,1057630,22654,21909,796318
M,2005,70,1081934,22623,22745,857454
M,2006,70,1089798,21964,21828,848416
M,2007,70,1120480,22139,21522,856729
M,2008,70,1170468,23194,22443,901774
M,2009,70,1174624,22213,22148,914700
M,2010,70,1239396,23507,22614,945611
M,2011,70,1282368,24279,23568,985133
M,2012,70,1429646,26426,24721,1059582
M,2013,70,1469702,27604,27596,1198287
M,2014,70,1436911,26433,26678,1149247
M,2001,71,1083448,26291,26412,826369
M,2002,71,1018767,24955,25839,802655
M,2003,71,1033065,24405,24264,795334
M,2004,71,992379,22915,23279,791222
M,2005,71,1034976,23788,23027,781306
M,2006,71,1059311,23129,23053,843344
M,2007,71,1067834,22708,22715,836079
M,2008,71,1098341,23201,22728,845857
M,2009,71,1147274,23854,23014,892048
M,2010,71,1152411,23453,23150,900148
M,2011,71,1215889,24418,23663,931609
M,2012,71,1258089,25463,24478,961546
M,2013,71,1403220,28206,26559,1036368
M,2014,71,1442098,29066,29102,1169356
M,2001,72,1019619,26815,27749,774723
M,2002,72,1057157,27293,27160,800131
M,2003,72,993812,25497,26525,776914
M,2004,72,1008660,24658,24605,769205
M,2005,72,969464,24217,24506,765167
M,2006,72,1011188,24132,23260,755357
M,2007,72,1036182,24060,23861,815065
M,2008,72,1045126,24073,24071,807647
M,2009,72,1075140,23897,23374,816692
M,2010,72,1123420,24554,24267,853726
M,2011,72,1128958,24765,24589,879841
M,2012,72,1191471,25376,24875,907557
M,2013,72,1232626,27016,25971,937562
M,2014,72,1375014,29866,27953,1010896
M,2001,73,1019757,29065,29964,760633
M,2002,73,992804,27765,28794,749112
M,2003,73,1029864,28405,28299,774554
M,2004,73,968315,25939,26518,752487
M,2005,73,984002,26090,26520,746001
M,2006,73,945247,24463,24888,743108
M,2007,73,987056,25055,24272,734155
M,2008,73,1012122,25732,25415,792997
M,2009,73,1021053,24562,24485,786497
M,2010,73,1051243,25398,24447,787863
M,2011,73,1098866,26249,25556,837914
M,2012,73,1104193,26169,25535,855045
M,2013,73,1166095,26728,26303,882726
M,2014,73,1205610,28602,27479,913008
M,2001,74,998235,30849,30865,728731
M,2002,74,990692,29901,30547,731547
M,2003,74,965039,28315,28993,720651
M,2004,74,1001459,28091,28125,744927
M,2005,74,942376,27462,27597,724073
M,2006,74,957912,26675,26415,718165
M,2007,74,920784,25266,25482,715467
M,2008,74,962001,26307,25340,706721
M,2009,74,986390,25987,25575,763506
M,2010,74,996491,25572,25707,756624
M,2011,74,1025845,26412,25527,769886
M,2012,74,1072617,27055,26411,812276
M,2013,74,1078024,27635,27145,829509
M,2014,74,1139367,28455,27634,857432
M,2001,75,960755,31358,32102,685103
M,2002,75,967386,31535,31852,696076
M,2003,75,960791,30675,31567,698219
M,2004,75,936724,29167,29456,686874
M,2005,75,973368,29392,29290,709619
M,2006,75,914914,27406,27997,689385
M,2007,75,931237,27420,27202,683039
M,2008,75,895518,26417,26863,679687
M,2009,75,935694,26625,25537,670445
M,2010,75,960403,27485,26827,721008
M,2011,75,970919,27078,26695,732882
M,2012,75,999433,27477,26619,744120
M,2013,75,1045562,28800,27945,785563
M,2014,75,1050389,28898,28656,803434
M,2001,76,935696,32742,33744,663891
M,2002,76,929397,32384,32924,655316
M,2003,76,935851,32454,32623,667787
M,2004,76,930116,30915,31094,671287
M,2005,76,907557,29689,29912,662437
M,2006,76,943976,30117,30129,686620
M,2007,76,887508,28290,28631,668782
M,2008,76,903817,28543,28136,664284
M,2009,76,869101,26703,26950,662929
M,2010,76,909069,27866,26978,647804
M,2011,76,932918,28250,28124,698292
M,2012,76,943841,27860,27670,705802
M,2013,76,971956,28969,28156,717131
M,2014,76,1016762,29943,29307,758378
